#i;ra;ec;corners
920;8.200000e+01;-8.000000e+00;[[80.000000, -10.000000], [84.000000,-10.000000], [84.000000,-6.000000], [80.000000, -6.000000]]
921;8.200000e+01;-4.000000e+00;[[80.000000, -6.000000], [84.000000,-6.000000], [84.000000,-2.000000], [80.000000, -2.000000]]
922;8.200000e+01;0.000000e+00;[[80.000000, -2.000000], [84.000000,-2.000000], [84.000000,2.000000], [80.000000, 2.000000]]
923;8.200000e+01;4.000000e+00;[[80.000000, 2.000000], [84.000000,2.000000], [84.000000,6.000000], [80.000000, 6.000000]]
924;8.200000e+01;8.000000e+00;[[80.000000, 6.000000], [84.000000,6.000000], [84.000000,10.000000], [80.000000, 10.000000]]
925;8.200000e+01;1.200000e+01;[[80.000000, 10.000000], [84.000000,10.000000], [84.000000,14.000000], [80.000000, 14.000000]]
926;8.200000e+01;1.600000e+01;[[80.000000, 14.000000], [84.000000,14.000000], [84.000000,18.000000], [80.000000, 18.000000]]
927;8.200000e+01;2.000000e+01;[[80.000000, 18.000000], [84.000000,18.000000], [84.000000,22.000000], [80.000000, 22.000000]]
928;8.200000e+01;2.400000e+01;[[80.000000, 22.000000], [84.000000,22.000000], [84.000000,26.000000], [80.000000, 26.000000]]
929;8.200000e+01;2.800000e+01;[[80.000000, 26.000000], [84.000000,26.000000], [84.000000,30.000000], [80.000000, 30.000000]]
930;8.200000e+01;3.200000e+01;[[80.000000, 30.000000], [84.000000,30.000000], [84.000000,34.000000], [80.000000, 34.000000]]
931;8.200000e+01;3.600000e+01;[[80.000000, 34.000000], [84.000000,34.000000], [84.000000,38.000000], [80.000000, 38.000000]]
932;8.200000e+01;4.000000e+01;[[80.000000, 38.000000], [84.000000,38.000000], [84.000000,42.000000], [80.000000, 42.000000]]
933;8.200000e+01;4.400000e+01;[[80.000000, 42.000000], [84.000000,42.000000], [84.000000,46.000000], [80.000000, 46.000000]]
934;8.200000e+01;4.800000e+01;[[80.000000, 46.000000], [84.000000,46.000000], [84.000000,50.000000], [80.000000, 50.000000]]
935;8.200000e+01;5.200000e+01;[[80.000000, 50.000000], [84.000000,50.000000], [84.000000,54.000000], [80.000000, 54.000000]]
936;8.200000e+01;5.600000e+01;[[80.000000, 54.000000], [84.000000,54.000000], [84.000000,58.000000], [80.000000, 58.000000]]
937;8.200000e+01;6.000000e+01;[[80.000000, 58.000000], [84.000000,58.000000], [84.000000,62.000000], [80.000000, 62.000000]]
938;8.200000e+01;6.400000e+01;[[80.000000, 62.000000], [84.000000,62.000000], [84.000000,66.000000], [80.000000, 66.000000]]
939;8.200000e+01;6.800000e+01;[[80.000000, 66.000000], [84.000000,66.000000], [84.000000,70.000000], [80.000000, 70.000000]]
940;8.200000e+01;7.200000e+01;[[80.000000, 70.000000], [84.000000,70.000000], [84.000000,74.000000], [80.000000, 74.000000]]
941;8.200000e+01;7.600000e+01;[[80.000000, 74.000000], [84.000000,74.000000], [84.000000,78.000000], [80.000000, 78.000000]]
942;8.200000e+01;8.000000e+01;[[80.000000, 78.000000], [84.000000,78.000000], [84.000000,82.000000], [80.000000, 82.000000]]
943;8.200000e+01;8.400000e+01;[[80.000000, 82.000000], [84.000000,82.000000], [84.000000,86.000000], [80.000000, 86.000000]]
944;8.200000e+01;8.800000e+01;[[80.000000, 86.000000], [84.000000,86.000000], [84.000000,90.000000], [80.000000, 90.000000]]
946;8.600000e+01;-8.400000e+01;[[84.000000, -86.000000], [88.000000,-86.000000], [88.000000,-82.000000], [84.000000, -82.000000]]
947;8.600000e+01;-8.000000e+01;[[84.000000, -82.000000], [88.000000,-82.000000], [88.000000,-78.000000], [84.000000, -78.000000]]
948;8.600000e+01;-7.600000e+01;[[84.000000, -78.000000], [88.000000,-78.000000], [88.000000,-74.000000], [84.000000, -74.000000]]
949;8.600000e+01;-7.200000e+01;[[84.000000, -74.000000], [88.000000,-74.000000], [88.000000,-70.000000], [84.000000, -70.000000]]
950;8.600000e+01;-6.800000e+01;[[84.000000, -70.000000], [88.000000,-70.000000], [88.000000,-66.000000], [84.000000, -66.000000]]
951;8.600000e+01;-6.400000e+01;[[84.000000, -66.000000], [88.000000,-66.000000], [88.000000,-62.000000], [84.000000, -62.000000]]
952;8.600000e+01;-6.000000e+01;[[84.000000, -62.000000], [88.000000,-62.000000], [88.000000,-58.000000], [84.000000, -58.000000]]
953;8.600000e+01;-5.600000e+01;[[84.000000, -58.000000], [88.000000,-58.000000], [88.000000,-54.000000], [84.000000, -54.000000]]
954;8.600000e+01;-5.200000e+01;[[84.000000, -54.000000], [88.000000,-54.000000], [88.000000,-50.000000], [84.000000, -50.000000]]
955;8.600000e+01;-4.800000e+01;[[84.000000, -50.000000], [88.000000,-50.000000], [88.000000,-46.000000], [84.000000, -46.000000]]
956;8.600000e+01;-4.400000e+01;[[84.000000, -46.000000], [88.000000,-46.000000], [88.000000,-42.000000], [84.000000, -42.000000]]
957;8.600000e+01;-4.000000e+01;[[84.000000, -42.000000], [88.000000,-42.000000], [88.000000,-38.000000], [84.000000, -38.000000]]
958;8.600000e+01;-3.600000e+01;[[84.000000, -38.000000], [88.000000,-38.000000], [88.000000,-34.000000], [84.000000, -34.000000]]
959;8.600000e+01;-3.200000e+01;[[84.000000, -34.000000], [88.000000,-34.000000], [88.000000,-30.000000], [84.000000, -30.000000]]
960;8.600000e+01;-2.800000e+01;[[84.000000, -30.000000], [88.000000,-30.000000], [88.000000,-26.000000], [84.000000, -26.000000]]
961;8.600000e+01;-2.400000e+01;[[84.000000, -26.000000], [88.000000,-26.000000], [88.000000,-22.000000], [84.000000, -22.000000]]
962;8.600000e+01;-2.000000e+01;[[84.000000, -22.000000], [88.000000,-22.000000], [88.000000,-18.000000], [84.000000, -18.000000]]
963;8.600000e+01;-1.600000e+01;[[84.000000, -18.000000], [88.000000,-18.000000], [88.000000,-14.000000], [84.000000, -14.000000]]
964;8.600000e+01;-1.200000e+01;[[84.000000, -14.000000], [88.000000,-14.000000], [88.000000,-10.000000], [84.000000, -10.000000]]
965;8.600000e+01;-8.000000e+00;[[84.000000, -10.000000], [88.000000,-10.000000], [88.000000,-6.000000], [84.000000, -6.000000]]
966;8.600000e+01;-4.000000e+00;[[84.000000, -6.000000], [88.000000,-6.000000], [88.000000,-2.000000], [84.000000, -2.000000]]
967;8.600000e+01;0.000000e+00;[[84.000000, -2.000000], [88.000000,-2.000000], [88.000000,2.000000], [84.000000, 2.000000]]
968;8.600000e+01;4.000000e+00;[[84.000000, 2.000000], [88.000000,2.000000], [88.000000,6.000000], [84.000000, 6.000000]]
969;8.600000e+01;8.000000e+00;[[84.000000, 6.000000], [88.000000,6.000000], [88.000000,10.000000], [84.000000, 10.000000]]
970;8.600000e+01;1.200000e+01;[[84.000000, 10.000000], [88.000000,10.000000], [88.000000,14.000000], [84.000000, 14.000000]]
971;8.600000e+01;1.600000e+01;[[84.000000, 14.000000], [88.000000,14.000000], [88.000000,18.000000], [84.000000, 18.000000]]
972;8.600000e+01;2.000000e+01;[[84.000000, 18.000000], [88.000000,18.000000], [88.000000,22.000000], [84.000000, 22.000000]]
973;8.600000e+01;2.400000e+01;[[84.000000, 22.000000], [88.000000,22.000000], [88.000000,26.000000], [84.000000, 26.000000]]
974;8.600000e+01;2.800000e+01;[[84.000000, 26.000000], [88.000000,26.000000], [88.000000,30.000000], [84.000000, 30.000000]]
975;8.600000e+01;3.200000e+01;[[84.000000, 30.000000], [88.000000,30.000000], [88.000000,34.000000], [84.000000, 34.000000]]
976;8.600000e+01;3.600000e+01;[[84.000000, 34.000000], [88.000000,34.000000], [88.000000,38.000000], [84.000000, 38.000000]]
977;8.600000e+01;4.000000e+01;[[84.000000, 38.000000], [88.000000,38.000000], [88.000000,42.000000], [84.000000, 42.000000]]
978;8.600000e+01;4.400000e+01;[[84.000000, 42.000000], [88.000000,42.000000], [88.000000,46.000000], [84.000000, 46.000000]]
979;8.600000e+01;4.800000e+01;[[84.000000, 46.000000], [88.000000,46.000000], [88.000000,50.000000], [84.000000, 50.000000]]
980;8.600000e+01;5.200000e+01;[[84.000000, 50.000000], [88.000000,50.000000], [88.000000,54.000000], [84.000000, 54.000000]]
981;8.600000e+01;5.600000e+01;[[84.000000, 54.000000], [88.000000,54.000000], [88.000000,58.000000], [84.000000, 58.000000]]
982;8.600000e+01;6.000000e+01;[[84.000000, 58.000000], [88.000000,58.000000], [88.000000,62.000000], [84.000000, 62.000000]]
983;8.600000e+01;6.400000e+01;[[84.000000, 62.000000], [88.000000,62.000000], [88.000000,66.000000], [84.000000, 66.000000]]
984;8.600000e+01;6.800000e+01;[[84.000000, 66.000000], [88.000000,66.000000], [88.000000,70.000000], [84.000000, 70.000000]]
985;8.600000e+01;7.200000e+01;[[84.000000, 70.000000], [88.000000,70.000000], [88.000000,74.000000], [84.000000, 74.000000]]
986;8.600000e+01;7.600000e+01;[[84.000000, 74.000000], [88.000000,74.000000], [88.000000,78.000000], [84.000000, 78.000000]]
987;8.600000e+01;8.000000e+01;[[84.000000, 78.000000], [88.000000,78.000000], [88.000000,82.000000], [84.000000, 82.000000]]
988;8.600000e+01;8.400000e+01;[[84.000000, 82.000000], [88.000000,82.000000], [88.000000,86.000000], [84.000000, 86.000000]]
989;8.600000e+01;8.800000e+01;[[84.000000, 86.000000], [88.000000,86.000000], [88.000000,90.000000], [84.000000, 90.000000]]
991;9.000000e+01;-8.400000e+01;[[88.000000, -86.000000], [92.000000,-86.000000], [92.000000,-82.000000], [88.000000, -82.000000]]
992;9.000000e+01;-8.000000e+01;[[88.000000, -82.000000], [92.000000,-82.000000], [92.000000,-78.000000], [88.000000, -78.000000]]
993;9.000000e+01;-7.600000e+01;[[88.000000, -78.000000], [92.000000,-78.000000], [92.000000,-74.000000], [88.000000, -74.000000]]
994;9.000000e+01;-7.200000e+01;[[88.000000, -74.000000], [92.000000,-74.000000], [92.000000,-70.000000], [88.000000, -70.000000]]
995;9.000000e+01;-6.800000e+01;[[88.000000, -70.000000], [92.000000,-70.000000], [92.000000,-66.000000], [88.000000, -66.000000]]
996;9.000000e+01;-6.400000e+01;[[88.000000, -66.000000], [92.000000,-66.000000], [92.000000,-62.000000], [88.000000, -62.000000]]
997;9.000000e+01;-6.000000e+01;[[88.000000, -62.000000], [92.000000,-62.000000], [92.000000,-58.000000], [88.000000, -58.000000]]
998;9.000000e+01;-5.600000e+01;[[88.000000, -58.000000], [92.000000,-58.000000], [92.000000,-54.000000], [88.000000, -54.000000]]
999;9.000000e+01;-5.200000e+01;[[88.000000, -54.000000], [92.000000,-54.000000], [92.000000,-50.000000], [88.000000, -50.000000]]
1000;9.000000e+01;-4.800000e+01;[[88.000000, -50.000000], [92.000000,-50.000000], [92.000000,-46.000000], [88.000000, -46.000000]]
1001;9.000000e+01;-4.400000e+01;[[88.000000, -46.000000], [92.000000,-46.000000], [92.000000,-42.000000], [88.000000, -42.000000]]
1002;9.000000e+01;-4.000000e+01;[[88.000000, -42.000000], [92.000000,-42.000000], [92.000000,-38.000000], [88.000000, -38.000000]]
1003;9.000000e+01;-3.600000e+01;[[88.000000, -38.000000], [92.000000,-38.000000], [92.000000,-34.000000], [88.000000, -34.000000]]
1004;9.000000e+01;-3.200000e+01;[[88.000000, -34.000000], [92.000000,-34.000000], [92.000000,-30.000000], [88.000000, -30.000000]]
1005;9.000000e+01;-2.800000e+01;[[88.000000, -30.000000], [92.000000,-30.000000], [92.000000,-26.000000], [88.000000, -26.000000]]
1006;9.000000e+01;-2.400000e+01;[[88.000000, -26.000000], [92.000000,-26.000000], [92.000000,-22.000000], [88.000000, -22.000000]]
1007;9.000000e+01;-2.000000e+01;[[88.000000, -22.000000], [92.000000,-22.000000], [92.000000,-18.000000], [88.000000, -18.000000]]
1008;9.000000e+01;-1.600000e+01;[[88.000000, -18.000000], [92.000000,-18.000000], [92.000000,-14.000000], [88.000000, -14.000000]]
1009;9.000000e+01;-1.200000e+01;[[88.000000, -14.000000], [92.000000,-14.000000], [92.000000,-10.000000], [88.000000, -10.000000]]
1010;9.000000e+01;-8.000000e+00;[[88.000000, -10.000000], [92.000000,-10.000000], [92.000000,-6.000000], [88.000000, -6.000000]]
1011;9.000000e+01;-4.000000e+00;[[88.000000, -6.000000], [92.000000,-6.000000], [92.000000,-2.000000], [88.000000, -2.000000]]
1012;9.000000e+01;0.000000e+00;[[88.000000, -2.000000], [92.000000,-2.000000], [92.000000,2.000000], [88.000000, 2.000000]]
1013;9.000000e+01;4.000000e+00;[[88.000000, 2.000000], [92.000000,2.000000], [92.000000,6.000000], [88.000000, 6.000000]]
1014;9.000000e+01;8.000000e+00;[[88.000000, 6.000000], [92.000000,6.000000], [92.000000,10.000000], [88.000000, 10.000000]]
1015;9.000000e+01;1.200000e+01;[[88.000000, 10.000000], [92.000000,10.000000], [92.000000,14.000000], [88.000000, 14.000000]]
1016;9.000000e+01;1.600000e+01;[[88.000000, 14.000000], [92.000000,14.000000], [92.000000,18.000000], [88.000000, 18.000000]]
1017;9.000000e+01;2.000000e+01;[[88.000000, 18.000000], [92.000000,18.000000], [92.000000,22.000000], [88.000000, 22.000000]]
1018;9.000000e+01;2.400000e+01;[[88.000000, 22.000000], [92.000000,22.000000], [92.000000,26.000000], [88.000000, 26.000000]]
1019;9.000000e+01;2.800000e+01;[[88.000000, 26.000000], [92.000000,26.000000], [92.000000,30.000000], [88.000000, 30.000000]]
1020;9.000000e+01;3.200000e+01;[[88.000000, 30.000000], [92.000000,30.000000], [92.000000,34.000000], [88.000000, 34.000000]]
1021;9.000000e+01;3.600000e+01;[[88.000000, 34.000000], [92.000000,34.000000], [92.000000,38.000000], [88.000000, 38.000000]]
1022;9.000000e+01;4.000000e+01;[[88.000000, 38.000000], [92.000000,38.000000], [92.000000,42.000000], [88.000000, 42.000000]]
1023;9.000000e+01;4.400000e+01;[[88.000000, 42.000000], [92.000000,42.000000], [92.000000,46.000000], [88.000000, 46.000000]]
1024;9.000000e+01;4.800000e+01;[[88.000000, 46.000000], [92.000000,46.000000], [92.000000,50.000000], [88.000000, 50.000000]]
1025;9.000000e+01;5.200000e+01;[[88.000000, 50.000000], [92.000000,50.000000], [92.000000,54.000000], [88.000000, 54.000000]]
1026;9.000000e+01;5.600000e+01;[[88.000000, 54.000000], [92.000000,54.000000], [92.000000,58.000000], [88.000000, 58.000000]]
1027;9.000000e+01;6.000000e+01;[[88.000000, 58.000000], [92.000000,58.000000], [92.000000,62.000000], [88.000000, 62.000000]]
1028;9.000000e+01;6.400000e+01;[[88.000000, 62.000000], [92.000000,62.000000], [92.000000,66.000000], [88.000000, 66.000000]]
1029;9.000000e+01;6.800000e+01;[[88.000000, 66.000000], [92.000000,66.000000], [92.000000,70.000000], [88.000000, 70.000000]]
1030;9.000000e+01;7.200000e+01;[[88.000000, 70.000000], [92.000000,70.000000], [92.000000,74.000000], [88.000000, 74.000000]]
1031;9.000000e+01;7.600000e+01;[[88.000000, 74.000000], [92.000000,74.000000], [92.000000,78.000000], [88.000000, 78.000000]]
1032;9.000000e+01;8.000000e+01;[[88.000000, 78.000000], [92.000000,78.000000], [92.000000,82.000000], [88.000000, 82.000000]]
1033;9.000000e+01;8.400000e+01;[[88.000000, 82.000000], [92.000000,82.000000], [92.000000,86.000000], [88.000000, 86.000000]]
1034;9.000000e+01;8.800000e+01;[[88.000000, 86.000000], [92.000000,86.000000], [92.000000,90.000000], [88.000000, 90.000000]]
1035;9.400000e+01;-8.800000e+01;[[92.000000, -90.000000], [96.000000,-90.000000], [96.000000,-86.000000], [92.000000, -86.000000]]
1036;9.400000e+01;-8.400000e+01;[[92.000000, -86.000000], [96.000000,-86.000000], [96.000000,-82.000000], [92.000000, -82.000000]]
1037;9.400000e+01;-8.000000e+01;[[92.000000, -82.000000], [96.000000,-82.000000], [96.000000,-78.000000], [92.000000, -78.000000]]
1038;9.400000e+01;-7.600000e+01;[[92.000000, -78.000000], [96.000000,-78.000000], [96.000000,-74.000000], [92.000000, -74.000000]]
1039;9.400000e+01;-7.200000e+01;[[92.000000, -74.000000], [96.000000,-74.000000], [96.000000,-70.000000], [92.000000, -70.000000]]
1040;9.400000e+01;-6.800000e+01;[[92.000000, -70.000000], [96.000000,-70.000000], [96.000000,-66.000000], [92.000000, -66.000000]]
1041;9.400000e+01;-6.400000e+01;[[92.000000, -66.000000], [96.000000,-66.000000], [96.000000,-62.000000], [92.000000, -62.000000]]
1042;9.400000e+01;-6.000000e+01;[[92.000000, -62.000000], [96.000000,-62.000000], [96.000000,-58.000000], [92.000000, -58.000000]]
1043;9.400000e+01;-5.600000e+01;[[92.000000, -58.000000], [96.000000,-58.000000], [96.000000,-54.000000], [92.000000, -54.000000]]
1044;9.400000e+01;-5.200000e+01;[[92.000000, -54.000000], [96.000000,-54.000000], [96.000000,-50.000000], [92.000000, -50.000000]]
1045;9.400000e+01;-4.800000e+01;[[92.000000, -50.000000], [96.000000,-50.000000], [96.000000,-46.000000], [92.000000, -46.000000]]
1046;9.400000e+01;-4.400000e+01;[[92.000000, -46.000000], [96.000000,-46.000000], [96.000000,-42.000000], [92.000000, -42.000000]]
1047;9.400000e+01;-4.000000e+01;[[92.000000, -42.000000], [96.000000,-42.000000], [96.000000,-38.000000], [92.000000, -38.000000]]
1048;9.400000e+01;-3.600000e+01;[[92.000000, -38.000000], [96.000000,-38.000000], [96.000000,-34.000000], [92.000000, -34.000000]]
1049;9.400000e+01;-3.200000e+01;[[92.000000, -34.000000], [96.000000,-34.000000], [96.000000,-30.000000], [92.000000, -30.000000]]
1050;9.400000e+01;-2.800000e+01;[[92.000000, -30.000000], [96.000000,-30.000000], [96.000000,-26.000000], [92.000000, -26.000000]]
1051;9.400000e+01;-2.400000e+01;[[92.000000, -26.000000], [96.000000,-26.000000], [96.000000,-22.000000], [92.000000, -22.000000]]
1052;9.400000e+01;-2.000000e+01;[[92.000000, -22.000000], [96.000000,-22.000000], [96.000000,-18.000000], [92.000000, -18.000000]]
1053;9.400000e+01;-1.600000e+01;[[92.000000, -18.000000], [96.000000,-18.000000], [96.000000,-14.000000], [92.000000, -14.000000]]
1054;9.400000e+01;-1.200000e+01;[[92.000000, -14.000000], [96.000000,-14.000000], [96.000000,-10.000000], [92.000000, -10.000000]]
1055;9.400000e+01;-8.000000e+00;[[92.000000, -10.000000], [96.000000,-10.000000], [96.000000,-6.000000], [92.000000, -6.000000]]
1056;9.400000e+01;-4.000000e+00;[[92.000000, -6.000000], [96.000000,-6.000000], [96.000000,-2.000000], [92.000000, -2.000000]]
1057;9.400000e+01;0.000000e+00;[[92.000000, -2.000000], [96.000000,-2.000000], [96.000000,2.000000], [92.000000, 2.000000]]
1058;9.400000e+01;4.000000e+00;[[92.000000, 2.000000], [96.000000,2.000000], [96.000000,6.000000], [92.000000, 6.000000]]
1059;9.400000e+01;8.000000e+00;[[92.000000, 6.000000], [96.000000,6.000000], [96.000000,10.000000], [92.000000, 10.000000]]
1060;9.400000e+01;1.200000e+01;[[92.000000, 10.000000], [96.000000,10.000000], [96.000000,14.000000], [92.000000, 14.000000]]
1061;9.400000e+01;1.600000e+01;[[92.000000, 14.000000], [96.000000,14.000000], [96.000000,18.000000], [92.000000, 18.000000]]
1062;9.400000e+01;2.000000e+01;[[92.000000, 18.000000], [96.000000,18.000000], [96.000000,22.000000], [92.000000, 22.000000]]
1063;9.400000e+01;2.400000e+01;[[92.000000, 22.000000], [96.000000,22.000000], [96.000000,26.000000], [92.000000, 26.000000]]
1064;9.400000e+01;2.800000e+01;[[92.000000, 26.000000], [96.000000,26.000000], [96.000000,30.000000], [92.000000, 30.000000]]
1065;9.400000e+01;3.200000e+01;[[92.000000, 30.000000], [96.000000,30.000000], [96.000000,34.000000], [92.000000, 34.000000]]
1066;9.400000e+01;3.600000e+01;[[92.000000, 34.000000], [96.000000,34.000000], [96.000000,38.000000], [92.000000, 38.000000]]
1067;9.400000e+01;4.000000e+01;[[92.000000, 38.000000], [96.000000,38.000000], [96.000000,42.000000], [92.000000, 42.000000]]
1068;9.400000e+01;4.400000e+01;[[92.000000, 42.000000], [96.000000,42.000000], [96.000000,46.000000], [92.000000, 46.000000]]
1069;9.400000e+01;4.800000e+01;[[92.000000, 46.000000], [96.000000,46.000000], [96.000000,50.000000], [92.000000, 50.000000]]
1070;9.400000e+01;5.200000e+01;[[92.000000, 50.000000], [96.000000,50.000000], [96.000000,54.000000], [92.000000, 54.000000]]
1071;9.400000e+01;5.600000e+01;[[92.000000, 54.000000], [96.000000,54.000000], [96.000000,58.000000], [92.000000, 58.000000]]
1072;9.400000e+01;6.000000e+01;[[92.000000, 58.000000], [96.000000,58.000000], [96.000000,62.000000], [92.000000, 62.000000]]
1073;9.400000e+01;6.400000e+01;[[92.000000, 62.000000], [96.000000,62.000000], [96.000000,66.000000], [92.000000, 66.000000]]
1074;9.400000e+01;6.800000e+01;[[92.000000, 66.000000], [96.000000,66.000000], [96.000000,70.000000], [92.000000, 70.000000]]
1075;9.400000e+01;7.200000e+01;[[92.000000, 70.000000], [96.000000,70.000000], [96.000000,74.000000], [92.000000, 74.000000]]
1076;9.400000e+01;7.600000e+01;[[92.000000, 74.000000], [96.000000,74.000000], [96.000000,78.000000], [92.000000, 78.000000]]
1077;9.400000e+01;8.000000e+01;[[92.000000, 78.000000], [96.000000,78.000000], [96.000000,82.000000], [92.000000, 82.000000]]
1078;9.400000e+01;8.400000e+01;[[92.000000, 82.000000], [96.000000,82.000000], [96.000000,86.000000], [92.000000, 86.000000]]
1079;9.400000e+01;8.800000e+01;[[92.000000, 86.000000], [96.000000,86.000000], [96.000000,90.000000], [92.000000, 90.000000]]
1080;9.800000e+01;-8.800000e+01;[[96.000000, -90.000000], [100.000000,-90.000000], [100.000000,-86.000000], [96.000000, -86.000000]]
1081;9.800000e+01;-8.400000e+01;[[96.000000, -86.000000], [100.000000,-86.000000], [100.000000,-82.000000], [96.000000, -82.000000]]
1082;9.800000e+01;-8.000000e+01;[[96.000000, -82.000000], [100.000000,-82.000000], [100.000000,-78.000000], [96.000000, -78.000000]]
1083;9.800000e+01;-7.600000e+01;[[96.000000, -78.000000], [100.000000,-78.000000], [100.000000,-74.000000], [96.000000, -74.000000]]
1084;9.800000e+01;-7.200000e+01;[[96.000000, -74.000000], [100.000000,-74.000000], [100.000000,-70.000000], [96.000000, -70.000000]]
1085;9.800000e+01;-6.800000e+01;[[96.000000, -70.000000], [100.000000,-70.000000], [100.000000,-66.000000], [96.000000, -66.000000]]
1086;9.800000e+01;-6.400000e+01;[[96.000000, -66.000000], [100.000000,-66.000000], [100.000000,-62.000000], [96.000000, -62.000000]]
1087;9.800000e+01;-6.000000e+01;[[96.000000, -62.000000], [100.000000,-62.000000], [100.000000,-58.000000], [96.000000, -58.000000]]
1088;9.800000e+01;-5.600000e+01;[[96.000000, -58.000000], [100.000000,-58.000000], [100.000000,-54.000000], [96.000000, -54.000000]]
1089;9.800000e+01;-5.200000e+01;[[96.000000, -54.000000], [100.000000,-54.000000], [100.000000,-50.000000], [96.000000, -50.000000]]
1090;9.800000e+01;-4.800000e+01;[[96.000000, -50.000000], [100.000000,-50.000000], [100.000000,-46.000000], [96.000000, -46.000000]]
1091;9.800000e+01;-4.400000e+01;[[96.000000, -46.000000], [100.000000,-46.000000], [100.000000,-42.000000], [96.000000, -42.000000]]
1092;9.800000e+01;-4.000000e+01;[[96.000000, -42.000000], [100.000000,-42.000000], [100.000000,-38.000000], [96.000000, -38.000000]]
1093;9.800000e+01;-3.600000e+01;[[96.000000, -38.000000], [100.000000,-38.000000], [100.000000,-34.000000], [96.000000, -34.000000]]
1094;9.800000e+01;-3.200000e+01;[[96.000000, -34.000000], [100.000000,-34.000000], [100.000000,-30.000000], [96.000000, -30.000000]]
1095;9.800000e+01;-2.800000e+01;[[96.000000, -30.000000], [100.000000,-30.000000], [100.000000,-26.000000], [96.000000, -26.000000]]
1096;9.800000e+01;-2.400000e+01;[[96.000000, -26.000000], [100.000000,-26.000000], [100.000000,-22.000000], [96.000000, -22.000000]]
1097;9.800000e+01;-2.000000e+01;[[96.000000, -22.000000], [100.000000,-22.000000], [100.000000,-18.000000], [96.000000, -18.000000]]
1098;9.800000e+01;-1.600000e+01;[[96.000000, -18.000000], [100.000000,-18.000000], [100.000000,-14.000000], [96.000000, -14.000000]]
1099;9.800000e+01;-1.200000e+01;[[96.000000, -14.000000], [100.000000,-14.000000], [100.000000,-10.000000], [96.000000, -10.000000]]
1100;9.800000e+01;-8.000000e+00;[[96.000000, -10.000000], [100.000000,-10.000000], [100.000000,-6.000000], [96.000000, -6.000000]]
1101;9.800000e+01;-4.000000e+00;[[96.000000, -6.000000], [100.000000,-6.000000], [100.000000,-2.000000], [96.000000, -2.000000]]
1102;9.800000e+01;0.000000e+00;[[96.000000, -2.000000], [100.000000,-2.000000], [100.000000,2.000000], [96.000000, 2.000000]]
1103;9.800000e+01;4.000000e+00;[[96.000000, 2.000000], [100.000000,2.000000], [100.000000,6.000000], [96.000000, 6.000000]]
1104;9.800000e+01;8.000000e+00;[[96.000000, 6.000000], [100.000000,6.000000], [100.000000,10.000000], [96.000000, 10.000000]]
1105;9.800000e+01;1.200000e+01;[[96.000000, 10.000000], [100.000000,10.000000], [100.000000,14.000000], [96.000000, 14.000000]]
1106;9.800000e+01;1.600000e+01;[[96.000000, 14.000000], [100.000000,14.000000], [100.000000,18.000000], [96.000000, 18.000000]]
1107;9.800000e+01;2.000000e+01;[[96.000000, 18.000000], [100.000000,18.000000], [100.000000,22.000000], [96.000000, 22.000000]]
1108;9.800000e+01;2.400000e+01;[[96.000000, 22.000000], [100.000000,22.000000], [100.000000,26.000000], [96.000000, 26.000000]]
1109;9.800000e+01;2.800000e+01;[[96.000000, 26.000000], [100.000000,26.000000], [100.000000,30.000000], [96.000000, 30.000000]]
1110;9.800000e+01;3.200000e+01;[[96.000000, 30.000000], [100.000000,30.000000], [100.000000,34.000000], [96.000000, 34.000000]]
1111;9.800000e+01;3.600000e+01;[[96.000000, 34.000000], [100.000000,34.000000], [100.000000,38.000000], [96.000000, 38.000000]]
1112;9.800000e+01;4.000000e+01;[[96.000000, 38.000000], [100.000000,38.000000], [100.000000,42.000000], [96.000000, 42.000000]]
1113;9.800000e+01;4.400000e+01;[[96.000000, 42.000000], [100.000000,42.000000], [100.000000,46.000000], [96.000000, 46.000000]]
1114;9.800000e+01;4.800000e+01;[[96.000000, 46.000000], [100.000000,46.000000], [100.000000,50.000000], [96.000000, 50.000000]]
1115;9.800000e+01;5.200000e+01;[[96.000000, 50.000000], [100.000000,50.000000], [100.000000,54.000000], [96.000000, 54.000000]]
1116;9.800000e+01;5.600000e+01;[[96.000000, 54.000000], [100.000000,54.000000], [100.000000,58.000000], [96.000000, 58.000000]]
1117;9.800000e+01;6.000000e+01;[[96.000000, 58.000000], [100.000000,58.000000], [100.000000,62.000000], [96.000000, 62.000000]]
1118;9.800000e+01;6.400000e+01;[[96.000000, 62.000000], [100.000000,62.000000], [100.000000,66.000000], [96.000000, 66.000000]]
1119;9.800000e+01;6.800000e+01;[[96.000000, 66.000000], [100.000000,66.000000], [100.000000,70.000000], [96.000000, 70.000000]]
1120;9.800000e+01;7.200000e+01;[[96.000000, 70.000000], [100.000000,70.000000], [100.000000,74.000000], [96.000000, 74.000000]]
1121;9.800000e+01;7.600000e+01;[[96.000000, 74.000000], [100.000000,74.000000], [100.000000,78.000000], [96.000000, 78.000000]]
1122;9.800000e+01;8.000000e+01;[[96.000000, 78.000000], [100.000000,78.000000], [100.000000,82.000000], [96.000000, 82.000000]]
1123;9.800000e+01;8.400000e+01;[[96.000000, 82.000000], [100.000000,82.000000], [100.000000,86.000000], [96.000000, 86.000000]]
