varsimobjid,agn_tau,agn_sfu,agn_sfg,agn_sfr,agn_sfi,agn_sfz,agn_sfy,t0_mjd,varMethodName,seed
17881392130,72,0.986,0.873,0.774,0.703,0.656,0.615,49350,applyAgn,174622
17770348546,9.271,1.449,1.282,1.137,1.033,0.964,0.904,49350,applyAgn,173538
19827389442,188.9,1.051,0.93,0.824,0.749,0.699,0.655,49350,applyAgn,193626
20626982914,74.24,1.429,1.264,1.121,1.019,0.951,0.891,49350,applyAgn,201435
4565854210,125,1.378,1.219,1.081,0.982,0.917,0.859,49350,applyAgn,44588
14132481026,58.13,1.574,1.393,1.235,1.122,1.048,0.982,49350,applyAgn,138012
1515046914,105.5,1.251,1.107,0.981,0.892,0.832,0.78,49350,applyAgn,14795
7686668290,100.5,1.096,0.969,0.86,0.781,0.729,0.683,49350,applyAgn,75065
101872642,105.5,0.708,0.626,0.555,0.505,0.471,0.441,49350,applyAgn,994
14516302850,40.38,1.97,1.743,1.546,1.405,1.311,1.229,49350,applyAgn,141760
6631630850,148.6,0.543,0.481,0.426,0.387,0.362,0.339,49350,applyAgn,64762
2494056450,105.8,0.822,0.727,0.645,0.586,0.547,0.512,49350,applyAgn,24356
24871288834,98.81,1.132,1.001,0.888,0.807,0.753,0.706,49350,applyAgn,242883
6667561986,138.5,0.714,0.632,0.56,0.509,0.475,0.445,49350,applyAgn,65112
17023237122,578.3,0.488,0.432,0.383,0.348,0.325,0.304,49350,applyAgn,166242
7159500802,37.65,1.45,1.283,1.138,1.034,0.965,0.904,49350,applyAgn,69917
5807482882,101.2,1.411,1.249,1.107,1.006,0.939,0.88,49350,applyAgn,56713
21728457730,71.15,1.889,1.672,1.482,1.347,1.257,1.178,49350,applyAgn,212191
9987353602,86.08,0.911,0.806,0.715,0.65,0.606,0.568,49350,applyAgn,97532
12702487554,93.96,1.309,1.159,1.027,0.934,0.871,0.817,49350,applyAgn,124047
7273325570,107.9,0.858,0.759,0.673,0.612,0.571,0.535,49350,applyAgn,71028
18854821890,232,0.94,0.832,0.738,0.67,0.626,0.586,49350,applyAgn,184129
4981234690,290.6,1.249,1.105,0.98,0.89,0.831,0.779,49350,applyAgn,48644
8760385538,166,0.779,0.689,0.611,0.555,0.518,0.486,49350,applyAgn,85550
22943501314,149.9,1.06,0.938,0.832,0.756,0.705,0.661,49350,applyAgn,224057
11131911170,249.7,0.891,0.788,0.699,0.635,0.593,0.555,49350,applyAgn,108710
20188360706,100.9,1.261,1.116,0.99,0.899,0.839,0.787,49350,applyAgn,197151
9967190018,236.6,1.121,0.992,0.88,0.799,0.746,0.699,49350,applyAgn,97335
16066161666,80,1.015,0.898,0.796,0.724,0.675,0.633,49350,applyAgn,156896
19582532610,47.8,0.88,0.779,0.69,0.627,0.586,0.549,49350,applyAgn,191235
17650621442,136.1,1.12,0.991,0.879,0.799,0.746,0.699,49350,applyAgn,172369
