# htmid ra dec glon glat
14880 9.147128e+01 2.108741e+01 1.890898e+02 5.415392e-03
14881 9.144723e+01 1.827581e+01 1.915322e+02 -1.388056e+00
14882 9.448088e+01 1.837042e+01 1.928345e+02 1.182265e+00
14883 9.158995e+01 1.841937e+01 1.914729e+02 -1.199757e+00
14884 9.141460e+01 1.265252e+01 1.964347e+02 -4.153570e+00
14885 9.435272e+01 1.273390e+01 1.977390e+02 -1.599036e+00
14886 9.143052e+01 1.546416e+01 1.939805e+02 -2.773497e+00
14887 9.152762e+01 1.276825e+01 1.963868e+02 -4.001037e+00
14889 9.739602e+01 1.560730e+01 1.965824e+02 2.353617e+00
14892 9.448390e+01 1.286500e+01 1.976842e+02 -1.424280e+00
14893 9.455221e+01 1.569008e+01 1.952273e+02 -2.762835e-02
14894 9.156157e+01 1.559685e+01 1.939260e+02 -2.598610e+00
14895 9.440926e+01 1.554923e+01 1.952861e+02 -2.156290e-01
14980 9.159772e+01 3.514576e+01 1.768153e+02 6.913482e+00
14983 9.215322e+01 3.574729e+01 1.764973e+02 7.596938e+00
14992 9.144576e+01 2.389949e+01 1.866245e+02 1.358832e+00
14993 9.475779e+01 2.431298e+01 1.877091e+02 4.211343e+00
14994 9.147855e+01 2.671109e+01 1.841827e+02 2.755862e+00
14995 9.186168e+01 2.437814e+01 1.863912e+02 1.923440e+00
14997 9.829767e+01 2.747645e+01 1.863354e+02 8.486901e+00
14998 9.808946e+01 2.465524e+01 1.888007e+02 7.062716e+00
14999 9.856099e+01 2.513923e+01 1.885568e+02 7.661629e+00
15000 9.155834e+01 3.233417e+01 1.792828e+02 5.538912e+00
15001 9.151432e+01 2.952267e+01 1.817358e+02 4.148890e+00
15002 9.501079e+01 2.994866e+01 1.827977e+02 7.026678e+00
15003 9.197431e+01 3.003107e+01 1.814823e+02 4.743876e+00
15004 9.534078e+01 2.762342e+01 1.850101e+02 6.213874e+00
15005 9.191919e+01 2.720676e+01 1.839395e+02 3.339797e+00
15006 9.520304e+01 2.479873e+01 1.874679e+02 4.796259e+00
15007 9.487488e+01 2.712888e+01 1.852585e+02 5.618317e+00
15032 9.208478e+01 3.289883e+01 1.789977e+02 6.198434e+00
15033 9.554424e+01 3.049911e+01 1.825163e+02 7.688183e+00
15035 9.515354e+01 3.278822e+01 1.803036e+02 8.430340e+00
15056 9.183695e+01 2.144841e+01 1.889408e+02 4.789619e-01
15057 9.484698e+01 1.872530e+01 1.926858e+02 1.655890e+00
15058 9.509053e+01 2.185453e+01 1.900293e+02 3.329582e+00
15059 9.449897e+01 2.129377e+01 1.902656e+02 2.580306e+00
15061 1.009411e+02 1.625449e+01 1.975609e+02 5.683307e+00
15062 9.776207e+01 1.595692e+01 1.964347e+02 2.827473e+00
15063 1.003534e+02 1.570904e+01 1.977950e+02 4.933343e+00
15065 9.836183e+01 2.219060e+01 1.911297e+02 6.176866e+00
15066 1.012883e+02 1.935730e+01 1.949125e+02 7.360762e+00
15067 1.010624e+02 2.194682e+01 1.924713e+02 8.310365e+00
15068 1.006983e+02 1.882633e+01 1.951427e+02 6.625513e+00
15069 9.777118e+01 2.164972e+01 1.913648e+02 5.443322e+00
15070 9.747470e+01 1.852455e+01 1.940249e+02 3.765811e+00
15071 9.806320e+01 1.907568e+01 1.937898e+02 4.513541e+00
15376 8.852872e+01 2.108741e+01 1.877253e+02 -2.377180e+00
15377 8.551912e+01 1.837042e+01 1.886091e+02 -6.201956e+00
15378 8.855277e+01 1.827581e+01 1.901684e+02 -3.775139e+00
15379 8.841005e+01 1.841937e+01 1.899758e+02 -3.819897e+00
15384 8.858540e+01 1.265252e+01 1.950747e+02 -6.559197e+00
15385 8.856948e+01 1.546416e+01 1.926163e+02 -5.171736e+00
15387 8.847238e+01 1.276825e+01 1.949185e+02 -6.597428e+00
15389 8.843843e+01 1.559685e+01 1.924375e+02 -5.214645e+00
15390 8.544779e+01 1.569008e+01 1.908839e+02 -7.647570e+00
15391 8.559074e+01 1.554923e+01 1.910772e+02 -7.602121e+00
15429 8.082986e+01 3.602777e+01 1.714953e+02 -1.016005e-01
15432 8.840228e+01 3.514576e+01 1.755301e+02 4.634963e+00
15434 8.463685e+01 3.564541e+01 1.735099e+02 2.267684e+00
15435 8.784678e+01 3.574729e+01 1.747800e+02 4.547590e+00
15436 8.403284e+01 3.624498e+01 1.727411e+02 2.175825e+00
15448 7.374286e+01 3.365281e+01 1.699427e+02 -6.188215e+00
15450 7.426175e+01 3.081131e+01 1.724639e+02 -7.603244e+00
15451 7.360608e+01 3.135998e+01 1.716785e+02 -7.705340e+00
15456 8.855424e+01 2.389949e+01 1.853101e+02 -9.348581e-01
15457 8.852145e+01 2.671109e+01 1.828704e+02 4.630948e-01
15458 8.524221e+01 2.431298e+01 1.833929e+02 -3.309734e+00
15459 8.813832e+01 2.437814e+01 1.847050e+02 -1.019058e+00
15460 8.844166e+01 3.233417e+01 1.779815e+02 3.247385e+00
15461 8.498921e+01 2.994866e+01 1.784903e+02 -5.156402e-01
15462 8.848568e+01 2.952267e+01 1.804292e+02 1.859205e+00
15463 8.802569e+01 3.003107e+01 1.797882e+02 1.773188e+00
15464 7.856302e+01 2.492935e+01 1.795181e+02 -8.040705e+00
15465 8.191054e+01 2.465524e+01 1.814657e+02 -5.680238e+00
15466 8.170233e+01 2.747645e+01 1.790009e+02 -4.278450e+00
15467 8.143901e+01 2.513923e+01 1.808229e+02 -5.769901e+00
15468 8.465922e+01 2.762342e+01 1.803050e+02 -1.998421e+00
15469 8.479696e+01 2.479873e+01 1.827654e+02 -3.396472e+00
15470 8.808081e+01 2.720676e+01 1.822439e+02 3.764968e-01
15471 8.512512e+01 2.712888e+01 1.809442e+02 -1.910798e+00
15472 7.802253e+01 2.545506e+01 1.787996e+02 -8.137828e+00
15473 8.116440e+01 2.801392e+01 1.782874e+02 -4.374906e+00
15474 7.763575e+01 2.830944e+01 1.762559e+02 -6.757539e+00
15475 7.824057e+01 2.773959e+01 1.770354e+02 -6.655705e+00
15476 8.791522e+01 3.289883e+01 1.772690e+02 3.151004e+00
15477 8.424691e+01 3.338523e+01 1.752478e+02 7.866494e-01
15478 8.445576e+01 3.049911e+01 1.777787e+02 -6.118485e-01
15479 8.484646e+01 3.278822e+01 1.760210e+02 8.918564e-01
15480 7.680822e+01 3.401603e+01 1.712150e+02 -3.950135e+00
15481 7.723363e+01 3.116331e+01 1.737293e+02 -5.359615e+00
15482 8.054132e+01 3.375706e+01 1.732332e+02 -1.582307e+00
15483 7.742904e+01 3.347923e+01 1.719553e+02 -3.854888e+00
15484 8.115438e+01 3.318608e+01 1.739934e+02 -1.482541e+00
15485 7.784969e+01 3.060833e+01 1.744925e+02 -5.259449e+00
15486 8.145788e+01 3.030607e+01 1.765256e+02 -2.882052e+00
15487 8.085562e+01 3.088735e+01 1.757526e+02 -2.985326e+00
15584 8.816305e+01 2.144841e+01 1.872411e+02 -2.488273e+00
15585 8.490947e+01 2.185453e+01 1.853253e+02 -4.866254e+00
15586 8.515302e+01 1.872530e+01 1.881225e+02 -6.313521e+00
15587 8.550103e+01 2.129377e+01 1.860941e+02 -4.692554e+00
15590 8.163817e+01 2.219060e+01 1.834006e+02 -7.242513e+00
15598 8.222882e+01 2.164972e+01 1.841588e+02 -7.078720e+00
16292 7.225283e+01 3.483667e+01 1.682371e+02 -6.398666e+00
