# htmid ra dec glon glat
10784 -9.147128e+01 -2.108741e+01 7.725329e+00 2.377180e+00
10785 -9.144723e+01 -1.827581e+01 1.016844e+01 3.775139e+00
10786 -9.448088e+01 -1.837042e+01 8.609096e+00 6.201956e+00
10787 -9.158995e+01 -1.841937e+01 9.975777e+00 3.819897e+00
10788 -9.141460e+01 -1.265252e+01 1.507472e+01 6.559197e+00
10790 -9.143052e+01 -1.546416e+01 1.261628e+01 5.171736e+00
10791 -9.152762e+01 -1.276825e+01 1.491849e+01 6.597428e+00
10797 -9.455221e+01 -1.569008e+01 1.088386e+01 7.647570e+00
10798 -9.156157e+01 -1.559685e+01 1.243748e+01 5.214645e+00
10799 -9.440926e+01 -1.554923e+01 1.107722e+01 7.602121e+00
10804 -9.150847e+01 -9.930445e+00 1.741455e+01 7.984458e+00
10881 -9.172042e+01 -4.076847e+01 3.505827e+02 -7.358895e+00
10882 -9.580688e+01 -4.127549e+01 3.485511e+02 -4.975395e+00
10883 -9.234540e+01 -4.139971e+01 3.497943e+02 -7.264802e+00
10884 -9.159772e+01 -3.514576e+01 3.555301e+02 -4.634963e+00
10885 -9.536315e+01 -3.564541e+01 3.535099e+02 -2.267684e+00
10886 -9.165581e+01 -3.795714e+01 3.530630e+02 -6.003106e+00
10887 -9.215322e+01 -3.574729e+01 3.547800e+02 -4.547590e+00
10888 -1.030079e+02 -3.629415e+01 3.494762e+02 2.467254e+00
10889 -9.953422e+01 -3.884075e+01 3.490134e+02 -1.253994e+00
10890 -9.917014e+01 -3.602777e+01 3.514953e+02 1.016005e-01
10891 -9.981987e+01 -3.661516e+01 3.507145e+02 1.989161e-01
10892 -9.596716e+01 -3.624498e+01 3.527411e+02 -2.175825e+00
10893 -9.620871e+01 -3.906630e+01 3.502571e+02 -3.533034e+00
10894 -9.224828e+01 -3.857537e+01 3.522906e+02 -5.910811e+00
10895 -9.556955e+01 -3.845909e+01 3.510384e+02 -3.628589e+00
10896 -9.144576e+01 -2.389949e+01 5.310114e+00 9.348581e-01
10897 -9.475779e+01 -2.431298e+01 3.392917e+00 3.309734e+00
10898 -9.147855e+01 -2.671109e+01 2.870426e+00 -4.630948e-01
10899 -9.186168e+01 -2.437814e+01 4.704991e+00 1.019058e+00
10900 -1.014370e+02 -2.492935e+01 3.595181e+02 8.040705e+00
10901 -9.829767e+01 -2.747645e+01 3.590009e+02 4.278450e+00
10902 -9.808946e+01 -2.465524e+01 1.465693e+00 5.680238e+00
10903 -9.856099e+01 -2.513923e+01 8.228509e-01 5.769901e+00
10904 -9.155834e+01 -3.233417e+01 3.579815e+02 -3.247385e+00
10905 -9.151432e+01 -2.952267e+01 4.291987e-01 -1.859205e+00
10906 -9.501079e+01 -2.994866e+01 3.584903e+02 5.156402e-01
10907 -9.197431e+01 -3.003107e+01 3.597882e+02 -1.773188e+00
10908 -9.534078e+01 -2.762342e+01 3.050474e-01 1.998421e+00
10909 -9.191919e+01 -2.720676e+01 2.243947e+00 -3.764968e-01
10910 -9.520304e+01 -2.479873e+01 2.765397e+00 3.396472e+00
10911 -9.487488e+01 -2.712888e+01 9.442097e-01 1.910798e+00
10916 -1.062571e+02 -3.365281e+01 3.499427e+02 6.188215e+00
10917 -1.057383e+02 -3.081131e+01 3.524639e+02 7.603244e+00
10919 -1.063939e+02 -3.135998e+01 3.516785e+02 7.705340e+00
10928 -1.019775e+02 -2.545506e+01 3.587996e+02 8.137828e+00
10929 -1.023642e+02 -2.830944e+01 3.562559e+02 6.757539e+00
10930 -9.883560e+01 -2.801392e+01 3.582874e+02 4.374906e+00
10931 -1.017594e+02 -2.773959e+01 3.570354e+02 6.655705e+00
10932 -1.031918e+02 -3.401603e+01 3.512150e+02 3.950135e+00
10933 -9.945868e+01 -3.375706e+01 3.532332e+02 1.582307e+00
10934 -1.027664e+02 -3.116331e+01 3.537293e+02 5.359615e+00
10935 -1.025710e+02 -3.347923e+01 3.519553e+02 3.854888e+00
10936 -9.208478e+01 -3.289883e+01 3.572690e+02 -3.151004e+00
10937 -9.554424e+01 -3.049911e+01 3.577787e+02 6.118485e-01
10938 -9.575309e+01 -3.338523e+01 3.552478e+02 -7.866494e-01
10939 -9.515354e+01 -3.278822e+01 3.560210e+02 -8.918564e-01
10940 -9.884562e+01 -3.318608e+01 3.539934e+02 1.482541e+00
10941 -9.854212e+01 -3.030607e+01 3.565256e+02 2.882052e+00
10942 -1.021503e+02 -3.060833e+01 3.544925e+02 5.259449e+00
10943 -9.914438e+01 -3.088735e+01 3.557526e+02 2.985326e+00
