# htmid ra dec glon glat
10960 -9.183695e+01 -2.144841e+01 7.241053e+00 2.488273e+00
10961 -9.484698e+01 -1.872530e+01 8.122504e+00 6.313521e+00
10962 -9.509053e+01 -2.185453e+01 5.325294e+00 4.866254e+00
10963 -9.449897e+01 -2.129377e+01 6.094065e+00 4.692554e+00
10969 -9.836183e+01 -2.219060e+01 3.400603e+00 7.242513e+00
10973 -9.777118e+01 -2.164972e+01 4.158823e+00 7.078720e+00
11009 -9.728583e+01 -4.259827e+01 3.468379e+02 -4.761267e+00
11010 -9.785287e+01 -4.690098e+01 3.429918e+02 -6.769696e+00
11011 -9.541854e+01 -4.487170e+01 3.456317e+02 -7.116863e+00
11012 -1.045067e+02 -3.752321e+01 3.477710e+02 2.678539e+00
11013 -1.055382e+02 -4.174573e+01 3.439559e+02 6.989071e-01
11014 -1.010277e+02 -4.011400e+01 3.473087e+02 -1.041863e+00
11015 -1.030889e+02 -3.987089e+01 3.465726e+02 3.762724e-01
11020 -1.040511e+02 -4.412989e+01 3.427459e+02 -1.625971e+00
11021 -1.001401e+02 -4.672668e+01 3.422610e+02 -5.372448e+00
11022 -9.941131e+01 -4.243647e+01 3.461010e+02 -3.368365e+00
11023 -1.018546e+02 -4.438244e+01 3.434840e+02 -3.038297e+00
11032 -1.077472e+02 -3.483667e+01 3.482371e+02 6.398666e+00
11064 -1.066157e+02 -3.719737e+01 3.469848e+02 4.195156e+00
11065 -1.112100e+02 -3.853036e+01 3.436001e+02 6.083301e+00
11066 -1.077734e+02 -4.139944e+01 3.431666e+02 2.213286e+00
11067 -1.089666e+02 -3.896187e+01 3.444372e+02 4.485654e+00
11280 -8.852872e+01 -2.108741e+01 9.089824e+00 -5.415392e-03
11281 -8.551912e+01 -1.837042e+01 1.283446e+01 -1.182265e+00
11282 -8.855277e+01 -1.827581e+01 1.153216e+01 1.388056e+00
11283 -8.841005e+01 -1.841937e+01 1.147294e+01 1.199757e+00
11285 -8.270764e+01 -1.278322e+01 1.903982e+01 -9.564835e-01
11286 -8.260398e+01 -1.560730e+01 1.658241e+01 -2.353617e+00
11287 -8.256402e+01 -1.292229e+01 1.898150e+01 -1.145022e+00
11288 -8.858540e+01 -1.265252e+01 1.643473e+01 4.153570e+00
11289 -8.856948e+01 -1.546416e+01 1.398050e+01 2.773497e+00
11290 -8.564728e+01 -1.273390e+01 1.773905e+01 1.599036e+00
11291 -8.847238e+01 -1.276825e+01 1.638682e+01 4.001037e+00
11292 -8.551610e+01 -1.286500e+01 1.768417e+01 1.424280e+00
11293 -8.843843e+01 -1.559685e+01 1.392601e+01 2.598610e+00
11294 -8.544779e+01 -1.569008e+01 1.522733e+01 2.762835e-02
11295 -8.559074e+01 -1.554923e+01 1.528608e+01 2.156290e-01
11336 -8.840228e+01 -3.514576e+01 3.568153e+02 -6.913482e+00
11337 -8.834419e+01 -3.795714e+01 3.543396e+02 -8.286248e+00
11339 -8.784678e+01 -3.574729e+01 3.564973e+02 -7.596938e+00
11360 -8.855424e+01 -2.389949e+01 6.624508e+00 -1.358832e+00
11361 -8.852145e+01 -2.671109e+01 4.182738e+00 -2.755862e+00
11362 -8.524221e+01 -2.431298e+01 7.709087e+00 -4.211343e+00
11363 -8.813832e+01 -2.437814e+01 6.391228e+00 -1.923440e+00
11364 -8.844166e+01 -3.233417e+01 3.592828e+02 -5.538912e+00
11365 -8.498921e+01 -2.994866e+01 2.797700e+00 -7.026678e+00
11366 -8.848568e+01 -2.952267e+01 1.735810e+00 -4.148890e+00
11367 -8.802569e+01 -3.003107e+01 1.482331e+00 -4.743876e+00
11369 -8.191054e+01 -2.465524e+01 8.800669e+00 -7.062716e+00
11370 -8.170233e+01 -2.747645e+01 6.335416e+00 -8.486901e+00
11371 -8.143901e+01 -2.513923e+01 8.556838e+00 -7.661629e+00
11372 -8.465922e+01 -2.762342e+01 5.010130e+00 -6.213874e+00
11373 -8.479696e+01 -2.479873e+01 7.467860e+00 -4.796259e+00
11374 -8.808081e+01 -2.720676e+01 3.939548e+00 -3.339797e+00
11375 -8.512512e+01 -2.712888e+01 5.258522e+00 -5.618317e+00
11380 -8.791522e+01 -3.289883e+01 3.589977e+02 -6.198434e+00
11382 -8.445576e+01 -3.049911e+01 2.516325e+00 -7.688183e+00
11383 -8.484646e+01 -3.278822e+01 3.036010e-01 -8.430340e+00
11488 -8.816305e+01 -2.144841e+01 8.940837e+00 -4.789619e-01
11489 -8.490947e+01 -2.185453e+01 1.002933e+01 -3.329582e+00
11490 -8.515302e+01 -1.872530e+01 1.268581e+01 -1.655890e+00
11491 -8.550103e+01 -2.129377e+01 1.026557e+01 -2.580306e+00
11493 -7.871171e+01 -1.935730e+01 1.491253e+01 -7.360762e+00
11494 -8.163817e+01 -2.219060e+01 1.112970e+01 -6.176866e+00
11495 -7.893757e+01 -2.194682e+01 1.247134e+01 -8.310365e+00
11497 -8.223793e+01 -1.595692e+01 1.643468e+01 -2.827473e+00
11498 -7.905888e+01 -1.625449e+01 1.756090e+01 -5.683307e+00
11499 -7.964662e+01 -1.570904e+01 1.779496e+01 -4.933343e+00
11500 -7.930171e+01 -1.882633e+01 1.514272e+01 -6.625513e+00
11501 -8.252530e+01 -1.852455e+01 1.402493e+01 -3.765811e+00
11502 -8.222882e+01 -2.164972e+01 1.136480e+01 -5.443322e+00
11503 -8.193680e+01 -1.907568e+01 1.378979e+01 -4.513541e+00
