# htmid ra dec glon glat
8427 1.035338e+01 -1.570904e+01 1.109045e+02 -7.834603e+01
8428 1.069829e+01 -1.882633e+01 1.090182e+02 -8.146359e+01
8429 7.474701e+00 -1.852455e+01 9.186363e+01 -8.007115e+01
8430 7.771178e+00 -2.164972e+01 8.162267e+01 -8.282633e+01
8431 8.063202e+00 -1.907568e+01 9.323776e+01 -8.082093e+01
8433 1.358310e+01 -1.596554e+01 1.265214e+02 -7.881711e+01
8435 1.375481e+01 -1.337473e+01 1.265914e+02 -7.622102e+01
8436 1.438951e+01 -2.215951e+01 1.388929e+02 -8.484051e+01
8437 1.729190e+01 -1.925104e+01 1.511864e+02 -8.113386e+01
8438 1.397548e+01 -1.906335e+01 1.304114e+02 -8.187019e+01
8439 1.457434e+01 -1.960066e+01 1.350938e+02 -8.230992e+01
8442 2.009089e+01 -1.629716e+01 1.561601e+02 -7.726258e+01
8444 1.742997e+01 -1.667505e+01 1.459078e+02 -7.872274e+01
8446 1.416111e+01 -1.649009e+01 1.296652e+02 -7.929371e+01
8447 1.683215e+01 -1.614938e+01 1.422917e+02 -7.841943e+01
9096 1.450666e+01 -3.752321e+01 2.957367e+02 -7.951283e+01
9097 1.102766e+01 -4.011400e+01 3.091359e+02 -7.692586e+01
9099 1.308893e+01 -3.987089e+01 3.021336e+02 -7.725594e+01
9120 2.637529e+01 -2.637607e+01 2.124356e+02 -7.791331e+01
9121 2.365799e+01 -2.925384e+01 2.280416e+02 -8.025204e+01
9122 2.796867e+01 -3.032904e+01 2.300846e+02 -7.638138e+01
9123 2.563311e+01 -2.868213e+01 2.237364e+02 -7.861093e+01
9124 1.774717e+01 -3.483667e+01 2.756319e+02 -8.122956e+01
9125 2.221949e+01 -3.612914e+01 2.637823e+02 -7.799110e+01
9126 2.079083e+01 -3.207799e+01 2.505127e+02 -8.151598e+01
9127 1.982159e+01 -3.438775e+01 2.651709e+02 -8.059875e+01
9132 2.433745e+01 -3.559547e+01 2.566376e+02 -7.706570e+01
9133 2.722771e+01 -3.267072e+01 2.403990e+02 -7.638301e+01
9134 2.281973e+01 -3.156900e+01 2.424045e+02 -8.025443e+01
9135 2.518090e+01 -3.325746e+01 2.458575e+02 -7.772573e+01
9140 1.661567e+01 -3.719737e+01 2.863830e+02 -7.944348e+01
9142 2.120999e+01 -3.853036e+01 2.735139e+02 -7.662643e+01
9143 1.896662e+01 -3.896187e+01 2.811566e+02 -7.711505e+01
11920 -1.445765e+00 -2.389949e+01 4.380611e+01 -7.670102e+01
11922 -1.478548e+00 -2.671109e+01 3.153184e+01 -7.721572e+01
11923 -1.861684e+00 -2.437814e+01 4.137254e+01 -7.646772e+01
11928 -1.558338e+00 -3.233417e+01 6.875010e+00 -7.645633e+01
11929 -1.514322e+00 -2.952267e+01 1.884699e+01 -7.713172e+01
11931 -1.974306e+00 -3.003107e+01 1.687400e+01 -7.666489e+01
11933 -1.919193e+00 -2.720676e+01 2.920289e+01 -7.685918e+01
